"","actbillscc1","actbillscc10","actbillscc11","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc8","actbillscc9","age","age_grp","billscc","brrise","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","dfihhyr","dfihhyrchg","fihhyr2","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","forebeareffsec","forebeareffunsec","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","hscntcr1","hscntcr2","hscrchg","hsval","huresp","intmg","jbstat","mastat","mg1tot","nvesttot","pubsecty","region","saveamount","savebcs1","savebcs10","savebcs11","savebcs12","savebcs13","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savingch","sex","soc","subsid","tenure","uncert","uncertch","us","usa","usb","usc","usd","use","usg","ush","usi","usj","ustot","weight","xphpdf","xphsdf","xpmg","xpus"
"11","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",47,"45 - 54","keeping up without much difficulty","£500-599",NA,NA,NA,NA,NA,NA,"£2,000-£2,999","up >£100","£75,000-£99,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£300,000-£349,999","yes","base rate tracker","in paid employ","marrried or couple","£80,000-£89,999","£75,000 - £99,999","no","South East","£1,500-£1,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20009853,"Owned mortgage","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.03649887,"not applicable","no","£450-£499","not applicable"
"12","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",66,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"refused","no change","refused","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","widowed/divorced/separated","not applicable","refused","no","South East","refused",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20015144,"Owned outright","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.00311612,"not applicable","no","not applicable","not applicable"
"13","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",65,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£500-£599","up >£100","£17,500-£24,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£8,000 - £8,999","no","South West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20015649,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.974064988,"not applicable","no","not applicable","not applicable"
"14","no","no","no","no","no","no","no","yes","no","no","no",33,"25 - 34","keeping up, struggle from time to time",NA,"yes","yes","no","no","no","no","£1,600-£1,799","down >£100","£17,500-£24,999","no","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","no","no","no",NA,"I would be up to date with my loan payments, but it would be a struggle",NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","yes","no","the same","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","None","no","Greater London","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £300 or more a month","Male","C1",20016957,"Private rented","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","£3,500-£3,999",1.15740295,"heavy","no","not applicable","£180-£199"
"15","no","no","no","no","no","no","no","yes","no","no","no",36,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£7,500-£9,499","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"yes","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","don't know","harder","not applicable","not applicable","not applicable","unemployed","never married","not applicable","None","no","Scotland","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","E",20054581,"Local authority rented","vague idea","less certain","yes","no","no","yes","yes","yes","no","no","no","yes","£2,000-£2,499",0.983409382,"somewhat","no","not applicable","£40-£49"
"16","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",27,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down £50-£100","£30,000-£39,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","don't know","not applicable","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","£9,000 - £9,999","no","Yorkshire & Humberside","£25-£49","no","no","no","no","no","yes","no","no","no","no","no","no","yes","Increase by £50-£99 a month","Female","D",20060049,"Local authority rented","vague idea","no change","yes","no","no","yes","no","no","no","no","yes","no","£3,500-£3,999",0.852989967,"no","no","not applicable","£20-£29"
"17","no","no","no","no","no","no","no","yes","no","no","no",37,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£400-£499","no change","£25,000-£29,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£100,000-£124,999","yes","fixed","in paid employ","marrried or couple","£70,000-£79,999","£8,000 - £8,999","no","Yorkshire & Humberside","£50-£99","no","no","no","no","no","no","no","no","no","no","no","no","yes","Increase by £50-£99 a month","Male","C1",20063759,"Owned mortgage","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.979593042,"not applicable","no","£500-£549","not applicable"
"18","no","no","no","no","no","no","no","yes","yes","no","no",30,"25 - 34","keeping up, struggle from time to time","£0-49",NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£25,000-£29,999","no","no","no","no","yes","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"yes","no","not applicable","£100,000-£124,999","yes","standard variable rate (SVR)","in paid employ","marrried or couple","£90,000-£99,999","£2,000 - £2,999","no","North","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",20064497,"Owned mortgage","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.81202808,"not applicable","no","£600-£649","not applicable"
"19","no","no","no","no","no","no","no","yes","no","no","no",62,"55 - 64","keeping up, constant struggle",NA,"no","yes","no","no","no","no","<=199","down <£50","£4,500-£6,499","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no",NA,"I would be behind on my loan payments",NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","yes","yes","harder","not applicable","not applicable","not applicable","retired","widowed/divorced/separated","not applicable","<£500","no","North West","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by less than £50 a month","Male","E",20066578,"Private rented","vague idea","less certain","yes","yes","no","yes","yes","yes","no","no","no","no","£1,000-£1,499",0.911318207,"somewhat","yes","not applicable","£80-£89"
"20","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",44,"35 - 44","keeping up without much difficulty","£150-199",NA,NA,NA,NA,NA,NA,"£300-£399","down <£50","£40,000-£49,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","the same","£100,000-£124,999","yes","standard variable rate (SVR)","in paid employ","marrried or couple","£70,000-£79,999","£2,000 - £2,999","no","West Midlands","£50-£99","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no","Increase by less than £50 a month","Male","C2",20068033,"Owned mortgage","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","£1,500-£1,999",1.11259,"no","no","£400-£449","£280-£299"
"21","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",67,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£400-£499","down >£100","£17,500-£24,999","no","yes","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable",">=£150,000","no","Yorkshire & Humberside","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",20068050,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.01155218,"not applicable","no","not applicable","not applicable"
"22","no","no","no","no","no","no","no","no","no","no","yes",39,"35 - 44","falling behind on some",NA,NA,NA,NA,NA,NA,NA,"<=199","no change","£6,500-£7,499","no","no","no","no","no","yes","no","no","don't know","don't know","don't know","don't know","don't know","don't know",NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","don't know","no","not applicable","not applicable","not applicable","not applicable","unemployed","never married","not applicable","None","no","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","C1",20071511,"Private rented","good idea","no change","yes","no","no","no","no","no","no","yes","no","no","£500-£999",1.16549917,"somewhat","yes","not applicable","<£10"
"23","no","no","no","no","no","no","no","no","no","no","yes",48,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down <£50","£17,500-£24,999","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"no","yes","yes","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","widowed/divorced/separated","not applicable","£12,500 - £14,999","no","West Midlands","£250-£299","no","yes","yes","no","no","no","no","no","no","no","no","yes","yes","Increase by £50-£99 a month","Male","C1",20073156,"Local authority rented","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","£1,000-£1,499",1.18448075,"no","no","not applicable",">=£500"
"24","no","no","no","no","no","no","no","yes","yes","no","no",52,"45 - 54","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£15,500-£17,499","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","self employed","never married","not applicable","£30,000 - £34,999","no","Scotland","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",20073843,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.12130705,"not applicable","no","not applicable","not applicable"
"25","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",27,"25 - 34","don't know",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","down >£100","£9,500-£11,499","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,"Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know",NA,NA,NA,NA,NA,"don't know","don't know","don't know","not applicable","no","not applicable","something else","marrried or couple","not applicable","None","don't know","South East","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",20081226,"Owned mortgage","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","not applicable",0.807560396,"not applicable","yes","not applicable","not applicable"
"26","no","no","no","no","no","no","no","no","no","no","yes",57,"55 - 64","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","<£4,500","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","refused","not applicable","not applicable","not applicable","not applicable","self employed","never married","not applicable","None","no","Scotland","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20082549,"Local authority rented","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.09331861,"not applicable","no","not applicable","not applicable"
"27","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",51,"45 - 54","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£400-£499","no change","£30,000-£39,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","refused","no","South East","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","B",20082641,"Local authority rented","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.21968114,"not applicable","no","not applicable","not applicable"
"28","no","no","no","no","no","no","no","no","no","no","yes",39,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"£500-£599","no change","£11,500-£13,499","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,"yes","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","widowed/divorced/separated","not applicable","£500-£999","no","Scotland","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",20082984,"Local authority rented","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.0046803,"not applicable","yes","not applicable","not applicable"
"29","no","no","no","no","no","no","no","no","no","no","yes",26,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"£300-£399","down £50-£100","£25,000-£29,999","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£250,000-£274,999","yes","don't know","long-term sick/disab","never married","£130,000-£149,999","<£500","no","South East","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20083138,"Owned mortgage","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.807560396,"not applicable","yes","don't know","not applicable"
"30","no","no","no","no","no","no","no","no","yes","no","no",66,"65+","keeping up, struggle from time to time","£0-49",NA,NA,NA,NA,NA,NA,"£200-£299","down <£50","£25,000-£29,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","yes","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£300,000-£349,999","yes","standard variable rate (SVR)","self employed","marrried or couple","£30,000-£39,999","£50,000 - £74,999","no","South East","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",20083529,"Owned mortgage","good idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",0.919969713,"not applicable","no","£250-£299","not applicable"
"31","no","no","no","no","no","no","no","no","no","no","yes",70,"65+","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"£800-£899","no change","£30,000-£39,999","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","yes","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","don't know","don't know","don't know","don't know","no","the same",NA,"yes","not applicable","retired","marrried or couple","not applicable","£100,000 - £149,999","no","Yorkshire & Humberside","£500-£599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20083611,"Owned outright","vague idea","no change","yes","no","yes","yes","no","no","no","yes","no","no","£3,500-£3,999",0.971003351,"somewhat","no","not applicable","£400-£449"
