"","Variable Name","Description","X__1","Values","Notes"
"186","desavebcs5",NA,5,"I will not save as much because of the low level of interest rates",NA
"187","desavebcs6",NA,6,"Other",NA
"188","emergency","Do you feel you have enough money set aside for emergencies?",1,"Yes","Available from 2012-2014 and in 2016"
"189",NA,NA,2,"No",NA
"190",NA,NA,NA,"Prefer not to state",NA
"191",NA,NA,3,"Don't know",NA
"192","emerchange","Has the amount of money you feel is necessary to deal with emergencies changed relative to the same time last year ?",1,"Increased","Available in 2012"
"193",NA,NA,2,"Stayed the same",NA
"194",NA,NA,NA,"Decreased",NA
"195",NA,NA,NA,"Don't know",NA
"196",NA,NA,3,"Prefer not to state",NA
"197","hsval","About how much would you expect to get from your main home if you sold it today?",1,"<£49000","Available from 2011-2013"
"198",NA,NA,2,"£50,000-£74,999",NA
"199",NA,"(asked separarely for mortgagors and households owned outright - combined into this variable)",3,"£75,000-£99,999",NA
"200",NA,NA,4,"£100,000-£124,999",NA
"201",NA,NA,5,"£125,000-£149,999",NA
"202",NA,NA,6,"£150,000-£174,999",NA
"203",NA,NA,7,"£175,000-£199,999",NA
"204",NA,NA,8,"£200,000-£224,999",NA
"205",NA,NA,9,"£225,000-£249,999",NA
"206",NA,NA,10,"£250,000-£274,999",NA
"207",NA,NA,11,"£275,000-£299,999",NA
"208",NA,NA,12,"£300,000-£349,999",NA
"209",NA,NA,13,"£350,000-£399,999",NA
"210",NA,NA,14,"£400,000-£449,999",NA
"211",NA,NA,15,"£450,000-£499,999",NA
"212",NA,NA,16,"£500,000-£599,999",NA
"213",NA,NA,17,"£600,000-£699,999",NA
"214",NA,NA,18,"£700,000-£799,999",NA
"215",NA,NA,19,"£800,000-£899,999",NA
"216",NA,NA,20,"£900,000-£999,999",NA
"217",NA,NA,21,"£1,000,000-£1,999,999",NA
"218",NA,NA,22,">=£2,000,000",NA
"219","hsval_m","House value (continuous measure)",NA,"£ []","Available from 2014"
"220","betterworse2006","Would you say you are financially better off or worse off now than you would have expected at the end of 2006, before the start of the financial crisis?",NA,"Much better off","Available in 2013 & 2014"
"221",NA,NA,NA,"Better off",NA
"222",NA,NA,NA,"About the same as I expected",NA
"223",NA,NA,NA,"Worse off",NA
"224",NA,NA,NA,"Much worse off",NA
"225",NA,NA,NA,"Don't know",NA
"226","betterworse2020","Do you think your household will be better off or worse off in another seven year's time (at the end of 2020) than you are now?",NA,"Much better off","Available in 2013"
"227",NA,NA,NA,"Better off",NA
"228",NA,NA,NA,"About the same as I expected",NA
"229",NA,NA,NA,"Worse off",NA
"230",NA,NA,NA,"Much worse off",NA
"231",NA,NA,NA,"Don't know",NA
"232","mg1tot","Roughly how much is left to pay on your current mortgage(s) and secured loan(s) on your home?",1,"<£10,000","Available from 2011-2013"
"233",NA,NA,2,"£10,000-£19,999",NA
"234",NA,NA,3,"£20,000-£29,999",NA
"235",NA,NA,4,"£30,000-£39,999",NA
"236",NA,NA,5,"£40,000-£49,999",NA
"237",NA,NA,6,"£50,000-£59,999",NA
"238",NA,NA,7,"£60,000-£69,999",NA
"239",NA,NA,8,"£70,000-£79,999",NA
"240",NA,NA,9,"£80,000-£89,999",NA
"241",NA,NA,10,"£90,000-£99,999",NA
"242",NA,NA,11,"£100,000-£109,999",NA
"243",NA,NA,12,"£110,000-£129,999",NA
"244",NA,NA,13,"£130,000-£149,999",NA
"245",NA,NA,14,"£150,000-£169,999",NA
"246",NA,NA,15,"£170,000-£189,999",NA
"247",NA,NA,16,"£190,000-£209,999",NA
"248",NA,NA,17,"£210,000-£229,999",NA
"249",NA,NA,18,"£230,000-£249,999",NA
"250",NA,NA,19,"£250,000-£274,999",NA
"251",NA,NA,20,"£275,000-£299,999",NA
"252",NA,NA,21,"£300,000-£399,999",NA
"253",NA,NA,22,"£400,000-£499,999",NA
"254",NA,NA,23,"£500,000-£749,999",NA
"255",NA,NA,24,"£750,000-£999,999",NA
"256",NA,NA,25,">=£1,000,000",NA
"257","mg1tot_m","Outstanding mortgage (continuous measure)",NA,"£ []","Available from 2014"
"258","xpmg","How much was your last monthly instalment on the mortgage(s) or loan(s) related to your home?",1,"<£100","Available from 2011-2013"
"259",NA,NA,2,"£100-£149",NA
"260",NA,NA,3,"£150-£199",NA
"261",NA,NA,4,"£200-£249",NA
"262",NA,NA,5,"£250-£299",NA
"263",NA,NA,6,"£300-£349",NA
"264",NA,NA,7,"£350-£399",NA
"265",NA,NA,8,"£400-£449",NA
"266",NA,NA,9,"£450-£499",NA
"267",NA,NA,10,"£500-£549",NA
"268",NA,NA,11,"£550-£599",NA
"269",NA,NA,12,"£600-£649",NA
"270",NA,NA,13,"£650-£699",NA
"271",NA,NA,14,"£700-£749",NA
"272",NA,NA,15,"£750-£799",NA
"273",NA,NA,16,"£800-£849",NA
"274",NA,NA,17,"£850-£899",NA
"275",NA,NA,18,"£900-£949",NA
"276",NA,NA,19,"£950-£999",NA
"277",NA,NA,20,"£1,000-£1,249",NA
"278",NA,NA,21,"£1,250-£1,499",NA
"279",NA,NA,22,"£1,500-£1,749",NA
"280",NA,NA,23,"£1,750-£1,999",NA
"281",NA,NA,24,">=£2,000",NA
"282","xpmg_m","Last mortgage instalment (continuous measure)",NA,"£ []","Available from 2014"
"283","intmg","What type of interest rate is being paid on the mortgage or loan?",NA,"Fixed","Available from 2011"
"284",NA,"(add next to how much was your last monthly repayment on loans)",NA,"Capped",NA
"285",NA,NA,NA,"Discounted",NA
"286",NA,NA,NA,"Base rate tracker",NA
"287",NA,NA,NA,"Standard Variable Rate (SVR)",NA
"288",NA,NA,NA,"Other (please specify)",NA
"289",NA,NA,NA,"Don't know",NA
"290",NA,NA,NA,"Prefer not to state",NA
"291","brrise","The interest payment on mortgages is often linked to the official interest rate set by the Bank of England.  If the rate was to increase, your monthly payments would also increase.  About how much do you think your monthly mortgage payments could increase for a sustained period without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or request a change to your mortgage?",NA,"£0-49","Available in 2011 and 2013"
"292",NA,NA,NA,"£50-99",NA
"293",NA,NA,NA,"£100-149",NA
"294",NA,NA,NA,"£150-199",NA
"295",NA,NA,NA,"£200-299",NA
"296",NA,NA,NA,"£300-399",NA
"297",NA,NA,NA,"£400-499",NA
"298",NA,NA,NA,"£500-599",NA
"299",NA,NA,NA,"£600-699",NA
"300",NA,NA,NA,"£700-799",NA
"301",NA,NA,NA,"£800-899",NA
"302",NA,NA,NA,"£900-999",NA
"303",NA,NA,NA,"£1000-1499",NA
"304",NA,NA,NA,"£1500 or more",NA
"305",NA,NA,NA,"Don't know",NA
"306",NA,NA,NA,"Prefer not to state",NA
"307","brrise_f","Although your monthly mortgage payments are currently fixed, we would like to understand the impact if your payments were to increase tomorrow.  
About how much do you think your monthly mortgage payments could increase for a sustained period without you having to take some kind of action to find the extra money e.g. cut spending, work longer hours, or request a change to your mortgage?
",NA,"£0-49","Available in 2013"
"308",NA,NA,NA,"£50-99",NA
"309",NA,NA,NA,"£100-149",NA
"310",NA,NA,NA,"£150-199",NA
"311",NA,NA,NA,"£200-299",NA
"312",NA,NA,NA,"£300-399",NA
"313",NA,NA,NA,"£400-499",NA
"314",NA,NA,NA,"£500-599",NA
"315",NA,NA,NA,"£600-699",NA
"316",NA,NA,NA,"£700-799",NA
"317",NA,NA,NA,"£800-899",NA
"318",NA,NA,NA,"£900-999",NA
"319",NA,NA,NA,"£1000-1499",NA
"320",NA,NA,NA,"£1500 or more",NA
"321",NA,NA,NA,"Don't know",NA
"322",NA,NA,NA,"Prefer not to state",NA
"323","mlender","Who is your mortgage provider?",NA,"Santander/Abbey","Available in 2013 and 2014"
"324",NA,NA,NA,"Nationwide",NA
"325",NA,NA,NA,"Barclays/Woolwich",NA
"326",NA,NA,NA,"HSBC/First Direct",NA
"327",NA,NA,NA,"Lloyds TSB/Bank of Scotland/Cheltenham and Gloucester/Halifax",NA
"328",NA,NA,NA,"Royal Bank of Scotland/Natwest",NA
"329",NA,NA,NA,"Co-op/Britannia",NA
"330",NA,NA,NA,"None of these",NA
"331",NA,NA,NA,"Don't know",NA
"332","xphsdf","In the past twelve months, would you say you have had any difficulties paying for your accomodation?",0,"No","Available from 2011 onwards"
"333",NA,NA,1,"Yes",NA
"334","us","Do you or your household currently owe any money on the following types of loan or credit agreement? (list: usa-usl)",0,"No","Available from 2011 onwards"
"335",NA,NA,1,"Yes",NA
"336",NA,NA,NA,NA,NA
"337",NA,"“If you expect to pay off your credit card balance in full on the next payment date please do not tick credit card here.",NA,NA,NA
"338",NA,"If you have credit card borrowing which you do not expect to pay off in full (for example if you only pay off the minimum each month) then leave the box ticked.”",NA,NA,NA
"339","usa","Unsecured debt instrument: hire purchase",NA,"No","Available from 2011-2015"
"340","usb","Unsecured debt instrument: personal loan",NA,"Yes","Available from 2011 onwards"
"341","usc","Unsecured debt instrument: credit card",NA,NA,"Available from 2011 onwards"
"342","usd","Unsecured debt instrument: mail order purchase",0,NA,"Available from 2011 onwards"
"343","use","Unsecured debt instrument: DSS social fund loan",1,NA,"Available from 2011 onwards"
"344","usg","Unsecured debt instrument: something else",NA,NA,"Available from 2011 onwards"
"345","ush","Unsecured debt instrument: overdraft",NA,NA,"Available from 2011 onwards"
"346","usi","Unsecured debt instrument: student loan",NA,NA,"Available from 2011 onwards"
"347","usj","Unsecured debt instrument: store card",NA,NA,"Available from 2011 onwards"
"348","usk","Unsecured debt instrument: payday loans",NA,NA,"Available from 2012 onwards"
"349","usa2","Unsecured debt instrument: hire purchase excluding car finance",NA,NA,"Available from 2016 onwards"
"350","usl","Unsecured debt instrument: car finance (arranged at dealership)",NA,NA,"Available from 2016 onwards"
"351","ustot","How much money in total does you or your household currently owe on these loans? (any of usa-usk)",1,"<£200","Available from 2011-2013"
"352",NA,NA,2,"£200-£499",NA
"353",NA,NA,3,"£500-£999",NA
"354",NA,"Again, for credit and store cards, please only include the amount you expect to leave unpaid on your next bill. Please try to be as accurate as possible, entering an amount in pounds without any decimals (you do not need to use all the nine spaces for digits).",4,"£1000-£1499","Clarificatoin on credit and store cards added in 2016."
"355",NA,NA,5,"£1500-£1999",NA
"356",NA,NA,6,"£2000-£2499",NA
"357",NA,NA,7,"£2500-£2999",NA
"358",NA,NA,8,"£3000-£3499",NA
"359",NA,NA,9,"£3500-£3999",NA
"360",NA,NA,10,"£4000-£4499",NA
"361",NA,NA,11,"£4500-£4999",NA
"362",NA,NA,12,"£5000-£5499",NA
"363",NA,NA,13,"£5500-£5999",NA
"364",NA,NA,14,"£6000-£6499",NA
"365",NA,NA,15,"£6500-£6999",NA
"366",NA,NA,16,"£7000-£7499",NA
"367",NA,NA,17,"£7500-£7999",NA
"368",NA,NA,18,"£8000-£8499",NA
"369",NA,NA,19,"£8500-£8999",NA
"370",NA,NA,20,"£9000-£9499",NA
"371",NA,NA,21,"£9500-£9999",NA
"372",NA,NA,22,"£10000-£14499",NA
"373",NA,NA,23,"£15000-£19999",NA
"374",NA,NA,24,"£20000-£24499",NA
"375",NA,NA,25,"£25000-£29999",NA
"376",NA,NA,26,">=£30000",NA
"377","ustot_m","Unsecured debt (continuous measure)",NA,"£ []","Available from 2014"
"378","stdebt","And, within this, how much do you or your household currently owe on",NA,"£199 or less","Available in 2013"
"379",NA,"student loans?",NA,"£200-499",NA
"380",NA,NA,NA,"£500-999",NA
"381",NA,NA,NA,"£1000-1499",NA
"382",NA,NA,NA,"£1500-1999",NA
"383",NA,NA,NA,"£2000-2499",NA
"384",NA,NA,NA,"£2500-2999",NA
"385",NA,NA,NA,"£3000-3499",NA
"386",NA,NA,NA,"£3500-3999",NA
"387",NA,NA,NA,"£4000-4499",NA
"388",NA,NA,NA,"£4500-4999",NA
"389",NA,NA,NA,"£5000-5499",NA
"390",NA,NA,NA,"£5500-5999",NA
"391",NA,NA,NA,"£6000-6499",NA
"392",NA,NA,NA,"£6500-6999",NA
"393",NA,NA,NA,"£7000-£7499",NA
"394",NA,NA,NA,"£7500 -7999",NA
"395",NA,NA,NA,"£8000 -£8499",NA
"396",NA,NA,NA,"£8500-£8999",NA
"397",NA,NA,NA,"£9000 -£9499",NA
"398",NA,NA,NA,"£9,500 - 9999",NA
"399",NA,NA,NA,"£10,000 to £14,999",NA
"400",NA,NA,NA,"£15,000 to £19,999",NA
"401",NA,NA,NA,"£20,000 to £24,999",NA
"402",NA,NA,NA,"£25,000 to £29,999",NA
"403",NA,NA,NA,"£30,000 or more",NA
"404",NA,NA,NA,"Don’t know",NA
"405",NA,NA,NA,"Prefer not to state",NA
"406","stdebt_m","Student debt (continuous measure)",NA,"£ []","Available 2014-2015, 2017"
"407","xpus","Taking into account of your unsecured debts, how much was your last monthly payment on all of the loans?",1,"<£10","Available from 2011-2013"
"408",NA,NA,2,"£10-£19",NA
"409",NA,NA,3,"£20-£29",NA
"410",NA,NA,4,"£30-£39",NA
"411",NA,NA,5,"£40-£49",NA
"412",NA,NA,6,"£50-£59",NA
"413",NA,NA,7,"£60-£69",NA
"414",NA,NA,8,"£70-£79",NA
"415",NA,NA,9,"£80-£89",NA
"416",NA,NA,10,"£90-£99",NA
"417",NA,NA,11,"£100-£119",NA
"418",NA,NA,12,"£120-£139",NA
"419",NA,NA,13,"£140-£159",NA
"420",NA,NA,14,"£160-£179",NA
"421",NA,NA,15,"£180-£199",NA
"422",NA,NA,16,"£200-£219",NA
"423",NA,NA,17,"£220-£239",NA
"424",NA,NA,18,"£240-£259",NA
"425",NA,NA,19,"£260-£279",NA
"426",NA,NA,20,"£280-£299",NA
"427",NA,NA,21,"£300-£349",NA
"428",NA,NA,22,"£350-£399",NA
"429",NA,NA,23,"£400-£449",NA
"430",NA,NA,24,"£450-£499",NA
"431",NA,NA,25,">£500",NA
"432","xpus_m","Last monthly repayment on unsecured debts (continuous measure)",NA,"£ []","Available from 2014"
"433","xphpdf","To what extent is the repayment of these unsecured loans and the interest a financial burden on your household?",1,"A heavy burden","Available from 2011 onwards"
"434",NA,NA,2,"Somewhat of a burden",NA
"435",NA,NA,3,"Not a burden",NA
"436","condebt","How concerned are you about your current level of debt?  Please consider all debt, including any balances on credit /store cards, loans, or secured debt such as your mortgage.",1,"Very concerned","Available from 2012 onwards"
"437",NA,NA,2,"Somewhat concerned",NA
"438",NA,NA,3,"Not at all concerned",NA
"439","whycondebt1","Why are you concerned about your current level of debt?",NA,"I am currently having difficulties keeping up with repayments","Available from 2013"
"440","whycondebt2",NA,NA,"My current income is lower than I expected it to be when I took out the loan",NA
"441","whycondebt3",NA,NA,"I am concerned about my ability to make repayments in the future if my repayments increase because of higher interest rates",NA
"442","whycondebt4",NA,NA,"I am concerned about my ability to make repayments in the future because there is a chance my income could fall",NA
"443","whycondebt5",NA,NA,"The house that I have borrowed against is worth less than I expected it to be",NA
"444","whycondebt6",NA,NA,"Banks are unwilling to lend me more money because of my current level of debt",NA
"445","whycondebt7",NA,NA,"Other",NA
"446","whycondebt8",NA,NA,"Don’t know",NA
"447","whycondebt9",NA,NA,"Prefer not to state",NA
"448","actdebt1","What actions, if any, are you taking to deal with your concerns about your current level of debt? Please select no more than three of the following",1,"Cutting back on spending","Available from 2012  onwards"
"449","actdebt2",NA,2,"Avoiding getting into any further debt","From 2014 options actdebt10 and actdebt11 were added"
"450","actdebt3",NA,3,"Making overpayments to clear the debt more quickly",NA
"451","actdebt4",NA,4,"Working longer hours / taking a second or better paid job",NA
"452","actdebt5",NA,5,"Getting financial help from family/relatives",NA
"453","actdebt7",NA,6,"Not taking any action",NA
"454","actdebt6",NA,7,"Other",NA
"455","actdebt8",NA,NA,"Don't know",NA
"456","actdebt9",NA,NA,"Prefer not to state",NA
"457","actdebt10",NA,NA,"Taking up paid employment myself",NA
"458","actdebt11",NA,NA,"Someone else in my household would take up paid employment",NA
"459","changecondebt","How has your concern about your current level of debt changed over the last two years? - changed taken out two in 2013",1,"Increased","Available from 2012 to 2013"
"460",NA,NA,2,"Stayed the same",NA
"461",NA,NA,3,"Decreased",NA
"462","billscc","Which one of the following statements best describes how well your household is keeping up with your bills and/or credit commitments at the moment?",1,"I am keeping up without much difficulty","Available in 2011 and 2012"
"463",NA,NA,2,"I am keeping up, but it is a struggle from time to time",NA
"464",NA,NA,3,"I am keeping up, but it is a constant struggle",NA
"465",NA,NA,4,"I am falling behind on some",NA
"466",NA,NA,5,"I am having real financial problems and have fallen behind with many",NA
"467",NA,NA,NA,"Don't know",NA
"468",NA,NA,NA,"Prefer not to state",NA
"469","actbillscc1","What actions, if any, are you taking to resolve the difficult you have in keeping up with bill and and / or credit commitments?  Please select no more than three of the following. Max 3 answers.",NA,"Taking out another loan","Available in 2011 and 2012"
"470","actbillscc2",NA,NA,"Taking out another mortgage on your house",NA
"471","actbillscc3",NA,NA,"Selling your house",NA
"472","actbillscc4",NA,NA,"Declaring yourself insolvent i.e. bankruptcy or IVA",NA
"473","actbillscc5",NA,NA,"Entering into another debt solution such as a debt management plan",NA
"474","actbillscc6",NA,NA,"Cutting back on spending",NA
"475","actbillscc7",NA,NA,"Using cash in savings / other assets",NA
"476","actbillscc8",NA,NA,"Working longer hours / taking a second or better paid job",NA
"477","actbillscc9",NA,NA,"Getting financial help from family / relatives",NA
"478","actbillscc10",NA,NA,"Other",NA
"479","actbillscc11",NA,NA,"Not taking any action",NA
